level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
d7_grid,4,0,20660427,0,7,6,21,0.2857142857142857,25,15,1.0,1,4,0.16040596727905854,0.18181818181818182,0.2,7.0
d7_grid,4,0,20660427,1,7,6,21,0.2857142857142857,25,15,1.0,1,5,0.16040596727905854,0.18181818181818182,0.1818181818181818,9.0
d7_grid,4,0,20660427,2,7,6,21,0.2857142857142857,25,15,1.0,1,10,0.16040596727905854,0.18181818181818182,0.0,13.0
d7_grid,4,0,20660427,3,7,6,21,0.2857142857142857,25,15,1.0,1,20,0.16040596727905854,0.18181818181818182,0.23076923076923075,17.0
d7_grid,4,0,20660427,4,7,6,21,0.2857142857142857,25,15,1.0,1,16,0.16040596727905854,0.18181818181818182,0.36363636363636365,14.0
d7_grid,4,1,20660428,0,7,6,21,0.2857142857142857,25,15,1.0,1,11,0.16040596727905854,0.18181818181818182,0.0,15.0
d7_grid,4,1,20660428,1,7,6,21,0.2857142857142857,25,15,1.0,1,16,0.16040596727905854,0.18181818181818182,0.09090909090909091,17.0
d7_grid,4,1,20660428,2,7,6,21,0.2857142857142857,25,15,1.0,1,2,0.16040596727905854,0.18181818181818182,0.0,7.0
d7_grid,4,1,20660428,3,7,6,21,0.2857142857142857,25,15,1.0,1,19,0.16040596727905854,0.18181818181818182,0.16,18.0
d7_grid,4,1,20660428,4,7,6,21,0.2857142857142857,25,15,1.0,1,11,0.16040596727905854,0.18181818181818182,0.23529411764705885,10.0
d7_grid,5,0,20760427,0,7,6,21,0.2857142857142857,15,15,1.0,1,3,0.16040596727905854,0.18181818181818182,0.0,9.0
d7_grid,5,0,20760427,1,7,6,21,0.2857142857142857,15,15,1.0,1,7,0.16040596727905854,0.18181818181818182,0.30769230769230765,8.0
d7_grid,5,0,20760427,2,7,6,21,0.2857142857142857,15,15,1.0,1,7,0.16040596727905854,0.18181818181818182,0.15384615384615383,9.0
d7_grid,5,0,20760427,3,7,6,21,0.2857142857142857,15,15,1.0,1,11,0.16040596727905854,0.18181818181818182,0.11764705882352942,13.0
d7_grid,5,0,20760427,4,7,6,21,0.2857142857142857,15,15,1.0,1,7,0.16040596727905854,0.18181818181818182,0.30769230769230765,9.0
d7_grid,5,1,20760428,0,7,6,21,0.2857142857142857,15,15,1.0,1,14,0.16040596727905854,0.18181818181818182,0.4,11.0
d7_grid,5,1,20760428,1,7,6,21,0.2857142857142857,15,15,1.0,1,10,0.16040596727905854,0.18181818181818182,0.0,15.0
d7_grid,5,1,20760428,2,7,6,21,0.2857142857142857,15,15,1.0,1,9,0.16040596727905854,0.18181818181818182,0.13333333333333333,11.0
d7_grid,5,1,20760428,3,7,6,21,0.2857142857142857,15,15,1.0,1,12,0.16040596727905854,0.18181818181818182,0.0,16.0
d7_grid,5,1,20760428,4,7,6,21,0.2857142857142857,15,15,1.0,1,21,0.16040596727905854,0.18181818181818182,0.14814814814814814,19.0
