d,k,rho,dag_seed,n_obs,undirected_fraction,num_undirected_edges,min_abs_partial_correlation,cond_size_at_min,fisher_z_power
7,6,0.2857142857142857,5,150,0.5,3,0.46254553439284385,2,0.9999762290886196
7,6,0.2857142857142857,5,600,0.5,3,0.46254553439284385,2,1.0
7,6,0.2857142857142857,6,15,0.6666666666666666,4,0.6648867976664279,0,0.7929185290622374
7,6,0.2857142857142857,6,25,0.6666666666666666,4,0.6648867976664279,0,0.9640307790855394
7,6,0.2857142857142857,6,50,0.6666666666666666,4,0.6648867976664279,0,0.9997961078418444
7,6,0.2857142857142857,6,150,0.6666666666666666,4,0.6648867976664279,0,0.9999999999999957
7,6,0.2857142857142857,6,600,0.6666666666666666,4,0.6648867976664279,0,1.0
7,6,0.2857142857142857,7,15,0.6666666666666666,4,0.500419476210601,1,0.445805462632075
7,6,0.2857142857142857,7,25,0.6666666666666666,4,0.500419476210601,1,0.7122046065590135
7,6,0.2857142857142857,7,50,0.6666666666666666,4,0.500419476210601,1,0.9615869256107268
7,6,0.2857142857142857,7,150,0.6666666666666666,4,0.500419476210601,1,0.9999985939497585
7,6,0.2857142857142857,7,600,0.6666666666666666,4,0.500419476210601,1,1.0
7,7,0.3333333333333333,0,15,0.5714285714285714,4,0.550988657168485,2,0.5000060778786335
7,7,0.3333333333333333,0,25,0.5714285714285714,4,0.550988657168485,2,0.7915655103674739
7,7,0.3333333333333333,0,50,0.5714285714285714,4,0.550988657168485,2,0.9860175994378637
7,7,0.3333333333333333,0,150,0.5714285714285714,4,0.550988657168485,2,0.999999981374742
7,7,0.3333333333333333,0,600,0.5714285714285714,4,0.550988657168485,2,1.0
7,7,0.3333333333333333,1,15,0.42857142857142855,3,0.4559668065185159,0,0.3993975045007544
7,7,0.3333333333333333,1,25,0.42857142857142855,3,0.4559668065185159,0,0.6363405600126436
7,7,0.3333333333333333,1,50,0.42857142857142855,3,0.4559668065185159,0,0.9213838004283043
7,7,0.3333333333333333,1,150,0.42857142857142855,3,0.4559668065185159,0,0.9999693481811199
7,7,0.3333333333333333,1,600,0.42857142857142855,3,0.4559668065185159,0,1.0
7,7,0.3333333333333333,2,15,0.2857142857142857,2,0.684508090249065,1,0.7932837714639558
7,7,0.3333333333333333,2,25,0.2857142857142857,2,0.684508090249065,1,0.969820546252153
7,7,0.3333333333333333,2,50,0.2857142857142857,2,0.684508090249065,1,0.9999006101675249
7,7,0.3333333333333333,2,150,0.2857142857142857,2,0.684508090249065,1,0.9999999999999998
7,7,0.3333333333333333,2,600,0.2857142857142857,2,0.684508090249065,1,1.0
7,7,0.3333333333333333,3,15,0.2857142857142857,2,0.5677552002184214,1,0.5700961366211235
7,7,0.3333333333333333,3,25,0.2857142857142857,2,0.5677552002184214,1,0.8394377096853245
7,7,0.3333333333333333,3,50,0.2857142857142857,2,0.5677552002184214,1,0.9920071097003349
7,7,0.3333333333333333,3,150,0.2857142857142857,2,0.5677552002184214,1,0.9999999971269184
7,7,0.3333333333333333,3,600,0.2857142857142857,2,0.5677552002184214,1,1.0
7,7,0.3333333333333333,4,15,1.0,7,0.6898995480724225,0,0.8356601684719006
7,7,0.3333333333333333,4,25,1.0,7,0.6898995480724225,0,0.9781210132548975
7,7,0.3333333333333333,4,50,1.0,7,0.6898995480724225,0,0.9999414247112202
7,7,0.3333333333333333,4,150,1.0,7,0.6898995480724225,0,1.0
7,7,0.3333333333333333,4,600,1.0,7,0.6898995480724225,0,1.0
7,7,0.3333333333333333,5,15,0.42857142857142855,3,0.717095216140963,1,0.8485972649819487
7,7,0.3333333333333333,5,25,0.42857142857142855,3,0.717095216140963,1,0.9850671558258467
7,7,0.3333333333333333,5,50,0.42857142857142855,3,0.717095216140963,1,0.9999837535661384
7,7,0.3333333333333333,5,150,0.42857142857142855,3,0.717095216140963,1,1.0
7,7,0.3333333333333333,5,600,0.42857142857142855,3,0.717095216140963,1,1.0
7,7,0.3333333333333333,6,15,0.7142857142857143,5,0.6648867976664276,1,0.757531391808508
7,7,0.3333333333333333,6,25,0.7142857142857143,5,0.6648867976664276,1,0.9566502878397488
7,7,0.3333333333333333,6,50,0.7142857142857143,5,0.6648867976664276,1,0.9997457351585728
7,7,0.3333333333333333,6,150,0.7142857142857143,5,0.6648867976664276,1,0.9999999999999944
7,7,0.3333333333333333,6,600,0.7142857142857143,5,0.6648867976664276,1,1.0
7,7,0.3333333333333333,7,15,0.42857142857142855,3,0.5004194762106,3,0.3781408756926546
7,7,0.3333333333333333,7,25,0.42857142857142855,3,0.5004194762106,3,0.6688879775309018
7,7,0.3333333333333333,7,50,0.42857142857142855,3,0.5004194762106,3,0.9542398225388035
7,7,0.3333333333333333,7,150,0.42857142857142855,3,0.5004194762106,3,0.9999982446136584
7,7,0.3333333333333333,7,600,0.42857142857142855,3,0.5004194762106,3,1.0
7,8,0.38095238095238093,0,15,0.75,6,0.5372087150903393,1,0.5122666423978297
7,8,0.38095238095238093,0,25,0.75,6,0.5372087150903393,1,0.7854131657058445
7,8,0.38095238095238093,0,50,0.75,6,0.5372087150903393,1,0.9826117420252621
7,8,0.38095238095238093,0,150,0.75,6,0.5372087150903393,1,0.9999999396941593
7,8,0.38095238095238093,0,600,0.75,6,0.5372087150903393,1,1.0
7,8,0.38095238095238093,1,15,1.0,8,0.3915596407886019,1,0.2782417339515303
7,8,0.38095238095238093,1,25,1.0,8,0.3915596407886019,1,0.47431637723641945
7,8,0.38095238095238093,1,50,1.0,8,0.3915596407886019,1,0.8010797337439143
7,8,0.38095238095238093,1,150,1.0,8,0.3915596407886019,1,0.9988095324507512
7,8,0.38095238095238093,1,600,1.0,8,0.3915596407886019,1,0.9999999999999998
7,8,0.38095238095238093,2,15,0.375,3,0.6692223106082977,0,0.8005671580895781
