run_id,timestamp_utc,method,model,level,seed,sample_index,baseline_seed,d,k,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,sampled_edges,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,63,12345,5,6,6,3,3,1,2,0,4,4,0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.25,0.16666666666666666,0.2,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,64,12345,5,6,6,3,3,1,2,0,6,6,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,65,12345,5,6,6,3,3,1,2,0,1,1,0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,66,12345,5,6,6,3,3,1,2,0,4,4,0,0.75,0.5,0.6,1.0,1.0,1.0,0.75,0.5,0.6,4,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,67,12345,5,6,6,3,3,1,2,0,5,5,0,0.4,0.3333333333333333,0.3636363636363636,1.0,0.6666666666666666,0.8,0.4,0.3333333333333333,0.3636363636363636,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,68,12345,5,6,6,3,3,1,2,0,9,9,0,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.13333333333333333,9,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,69,12345,5,6,6,3,3,1,2,0,8,8,0,0.625,0.8333333333333334,0.7142857142857143,0.5,0.3333333333333333,0.4,0.125,0.16666666666666666,0.14285714285714288,8,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,70,12345,5,6,6,3,3,1,2,0,2,2,0,0.5,0.16666666666666666,0.25,1.0,0.0,0.0,0.5,0.16666666666666666,0.25,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,71,12345,5,6,6,3,3,1,2,0,8,8,0,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,0.0,0.25,0.3333333333333333,0.28571428571428575,8,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,72,12345,5,6,6,3,3,1,2,0,4,4,0,0.75,0.5,0.6,0.0,0.0,0.0,0.25,0.16666666666666666,0.2,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,73,12345,5,6,6,3,3,1,2,0,3,3,0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,74,12345,5,6,6,3,3,1,2,0,3,3,0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,75,12345,5,6,6,3,3,1,2,0,7,7,0,0.5714285714285714,0.6666666666666666,0.6153846153846153,1.0,0.6666666666666666,0.8,0.2857142857142857,0.3333333333333333,0.30769230769230765,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,76,12345,5,6,6,3,3,1,2,0,9,9,0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,77,12345,5,6,6,3,3,1,2,0,7,7,0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.5,0.3333333333333333,0.4,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,78,12345,5,6,6,3,3,1,2,0,3,3,0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,5,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,79,12345,5,6,6,3,3,1,2,0,10,10,0,0.6,1.0,0.7499999999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.5,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,80,12345,5,6,6,3,3,1,2,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,81,12345,5,6,6,3,3,1,2,0,10,10,0,0.6,1.0,0.7499999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.6666666666666666,0.5,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,82,12345,5,6,6,3,3,1,2,0,1,1,0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,83,12345,5,6,6,3,3,1,2,0,5,5,0,0.8,0.6666666666666666,0.7272727272727272,0.5,0.3333333333333333,0.4,0.2,0.16666666666666666,0.1818181818181818,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,84,12345,5,6,6,3,3,1,2,0,3,3,0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,0.6666666666666666,0.8,0.6666666666666666,0.3333333333333333,0.4444444444444444,5,1.0
