run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,alpha,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,pc_input_directed,pc_input_undirected,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,sanitized_invalid_count,sanitized_cycle_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260427T093501Z,2026-04-27T09:48:52.765213+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,154587426,1545874260411,5,6,25,15,1.0,0,0.05,success,,7.103238,1626,302,1928,0,0,6,3,3,1,1,4,0,0,1,0,0,1,0,0,0,4,0,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.8,0.75,0.5,0.6,3,1.0
20260427T093501Z,2026-04-27T09:48:59.874808+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,1368642322,13686423220411,5,6,25,15,1.0,0,0.05,success,,18.158911,3912,1026,4938,0,0,6,0,6,1,1,2,2,1,2,0,1,1,0,0,0,4,0,0.75,0.5,0.6,1.0,1.0,1.0,0.0,0.0,0.0,7,1.0
20260427T093501Z,2026-04-27T09:49:18.042302+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,1163629188,11636291880411,5,6,25,15,1.0,0,0.05,success,,15.994998,3930,862,4792,0,0,6,0,6,1,1,2,1,1,2,0,1,1,0,0,0,3,0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,5,1.0
20260427T093501Z,2026-04-27T09:49:34.045337+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,1332933138,13329331380411,5,6,25,15,1.0,0,0.05,success,,11.73451,3925,731,4656,0,0,6,2,4,2,2,0,2,1,2,0,1,1,0,0,0,2,0,1.0,0.3333333333333333,0.5,1.0,0.5,0.6666666666666666,0.5,0.16666666666666666,0.25,5,1.0
20260427T093501Z,2026-04-27T09:49:45.787561+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,1231061499,12310614990411,5,6,25,15,1.0,0,0.05,success,,9.530315,1622,549,2171,0,0,6,3,3,1,1,0,3,0,1,0,0,1,0,0,0,3,0,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4,0.6666666666666666,0.3333333333333333,0.4444444444444444,4,1.0
20260427T093501Z,2026-04-27T09:49:55.321530+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,1526642568,15266425680512,7,9,15,10,1.5,0,0.05,success,,9.481353,1636,448,2084,0,0,9,3,6,1,1,0,3,0,1,0,0,1,0,0,0,3,0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.16666666666666666,8,1.0
20260427T093501Z,2026-04-27T09:50:04.813915+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,1170708238,11707082380512,7,9,15,10,1.5,0,0.05,success,,19.104112,3957,946,4903,0,0,9,7,2,2,2,0,3,1,2,0,1,1,0,0,0,3,0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0
20260427T093501Z,2026-04-27T09:50:23.923865+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,385840006,3858400060512,7,9,15,10,1.5,0,0.05,success,,15.334968,3953,900,4853,0,0,9,7,2,2,2,0,3,1,2,0,1,1,0,0,0,3,0,1.0,0.3333333333333333,0.5,0.5,0.14285714285714285,0.22222222222222224,0.3333333333333333,0.1111111111111111,0.16666666666666666,8,1.0
20260427T093501Z,2026-04-27T09:50:39.265261+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,32447648,324476480512,7,9,15,10,1.5,0,0.05,success,,5.526839,1640,317,1957,0,0,9,6,3,1,1,4,0,0,1,0,0,1,0,0,0,4,0,1.0,0.4444444444444444,0.6153846153846153,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.2222222222222222,0.30769230769230765,7,1.0
20260427T093501Z,2026-04-27T09:50:44.793482+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,1017236502,10172365020512,7,9,15,10,1.5,0,0.05,success,,37.295169,3937,1155,5092,0,0,9,3,6,2,2,0,5,1,2,0,1,1,0,0,0,4,1,0.8,0.4444444444444444,0.5714285714285714,1.0,0.3333333333333333,0.5,0.25,0.1111111111111111,0.15384615384615383,9,1.0
20260427T093501Z,2026-04-27T09:51:22.101570+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,1717602974,17176029740512,7,9,15,10,1.5,0,0.05,success,,12.43133,3935,643,4578,0,0,9,4,5,2,2,0,1,1,2,0,1,1,0,0,0,1,0,1.0,0.1111111111111111,0.19999999999999998,1.0,0.25,0.4,1.0,0.1111111111111111,0.19999999999999998,8,1.0
20260427T093501Z,2026-04-27T09:51:34.536426+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,480184089,4801840890512,7,9,15,10,1.5,0,0.05,success,,27.482949,3955,899,4854,0,0,9,6,3,2,2,0,3,1,2,0,1,1,0,0,0,3,0,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,0.25,0.3333333333333333,0.1111111111111111,0.16666666666666666,8,1.0
20260427T093501Z,2026-04-27T09:52:02.030887+00:00,active,llm_pc_handoff,claude-sonnet-4-6,5,2015902496,20159024960512,7,9,15,10,1.5,0,0.05,success,,13.718639,3936,722,4658,0,0,9,4,5,2,2,0,2,1,2,0,1,1,0,0,0,2,0,1.0,0.2222222222222222,0.3636363636363636,1.0,0.25,0.4,0.5,0.1111111111111111,0.1818181818181818,8,1.0
