run_id,timestamp_utc,method,model,level,seed,sample_index,baseline_seed,d,k,max_edges,density,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,sampled_edges,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T095623Z,2026-04-23T09:56:23.375512+00:00,random_uniform,baseline,4,1100146725,2,12345,12,14,66,0.21212121212121213,14,10,4,2,3,0,56,56,0,0.21428571428571427,0.8571428571428571,0.34285714285714286,0.25,0.2,0.22222222222222224,0.07142857142857142,0.2857142857142857,0.1142857142857143,54,1.0
20260423T095623Z,2026-04-23T09:56:23.375729+00:00,random_uniform,baseline,4,1100146725,3,12345,12,14,66,0.21212121212121213,14,10,4,2,3,0,61,61,0,0.19672131147540983,0.8571428571428571,0.32000000000000006,0.3333333333333333,0.3,0.3157894736842105,0.06557377049180328,0.2857142857142857,0.10666666666666666,59,1.0
20260423T095623Z,2026-04-23T09:56:23.375850+00:00,random_uniform,baseline,4,1100146725,4,12345,12,14,66,0.21212121212121213,14,10,4,2,3,0,5,5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,1.0
20260423T095623Z,2026-04-23T09:56:23.381026+00:00,random_uniform,baseline,5,1910407594,0,12345,10,12,45,0.26666666666666666,12,2,10,3,3,0,17,17,0,0.23529411764705882,0.3333333333333333,0.27586206896551724,1.0,0.5,0.6666666666666666,0.17647058823529413,0.25,0.20689655172413793,22,1.0
20260423T095623Z,2026-04-23T09:56:23.381222+00:00,random_uniform,baseline,5,1910407594,1,12345,10,12,45,0.26666666666666666,12,2,10,3,3,0,40,40,0,0.225,0.75,0.3461538461538462,1.0,0.5,0.6666666666666666,0.1,0.3333333333333333,0.15384615384615383,39,1.0
20260423T095623Z,2026-04-23T09:56:23.381349+00:00,random_uniform,baseline,5,1910407594,2,12345,10,12,45,0.26666666666666666,12,2,10,3,3,0,6,6,0,0.16666666666666666,0.08333333333333333,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,17,1.0
20260423T095623Z,2026-04-23T09:56:23.381522+00:00,random_uniform,baseline,5,1910407594,3,12345,10,12,45,0.26666666666666666,12,2,10,3,3,0,41,41,0,0.24390243902439024,0.8333333333333334,0.37735849056603776,1.0,1.0,1.0,0.07317073170731707,0.25,0.11320754716981131,40,1.0
20260423T095623Z,2026-04-23T09:56:23.381681+00:00,random_uniform,baseline,5,1910407594,4,12345,10,12,45,0.26666666666666666,12,2,10,3,3,0,21,21,0,0.19047619047619047,0.3333333333333333,0.24242424242424246,1.0,0.0,0.0,0.09523809523809523,0.16666666666666666,0.12121212121212123,27,1.0
20260423T095623Z,2026-04-23T09:56:23.383599+00:00,random_uniform,baseline,5,746528573,0,12345,10,12,45,0.26666666666666666,12,7,5,2,2,0,23,23,0,0.2608695652173913,0.5,0.3428571428571428,0.3333333333333333,0.14285714285714285,0.2,0.13043478260869565,0.25,0.1714285714285714,26,1.0
20260423T095623Z,2026-04-23T09:56:23.383753+00:00,random_uniform,baseline,5,746528573,1,12345,10,12,45,0.26666666666666666,12,7,5,2,2,0,9,9,0,0.1111111111111111,0.08333333333333333,0.09523809523809525,1.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.09523809523809525,19,1.0
20260423T095623Z,2026-04-23T09:56:23.383900+00:00,random_uniform,baseline,5,746528573,2,12345,10,12,45,0.26666666666666666,12,7,5,2,2,0,12,12,0,0.25,0.25,0.25,1.0,0.14285714285714285,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,19,1.0
20260423T095623Z,2026-04-23T09:56:23.383988+00:00,random_uniform,baseline,5,746528573,3,12345,10,12,45,0.26666666666666666,12,7,5,2,2,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0
20260423T095623Z,2026-04-23T09:56:23.384147+00:00,random_uniform,baseline,5,746528573,4,12345,10,12,45,0.26666666666666666,12,7,5,2,2,0,28,28,0,0.25,0.5833333333333334,0.35000000000000003,0.3333333333333333,0.14285714285714285,0.2,0.14285714285714285,0.3333333333333333,0.2,29,1.0
