run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,alpha,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,pc_observational_actions,meek_closure_actions,sanitized_overlap_count,sanitized_invalid_count,sanitized_cycle_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260428T070910Z,2026-04-28T07:13:16.252485+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,1198956094,11989560940411,12,14,50,25,1.0,0,0.05,success,,6.371087,5933,474,6407,0,0,14,9,5,2,2,1,3,0,1,1,1,0,6,0,0,9,0,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.5,0.2222222222222222,0.30769230769230765,0.4444444444444444,0.2857142857142857,0.34782608695652173,11,1.0
20260428T070910Z,2026-04-28T07:13:22.632272+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,154587426,1545874260411,12,14,50,25,1.0,0,0.05,success,,5.514286,5924,451,6375,0,0,14,12,2,2,2,1,3,0,1,1,1,0,0,0,0,9,0,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.6666666666666666,0.42857142857142855,0.5217391304347826,9,1.0
20260428T070910Z,2026-04-28T07:13:28.155045+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,1368642322,13686423220411,12,14,50,25,1.0,0,0.05,success,,6.036902,5967,475,6442,0,0,14,11,3,3,3,1,3,0,1,1,1,0,0,0,0,9,1,1.0,0.7142857142857143,0.8333333333333333,1.0,0.7272727272727273,0.8421052631578948,0.8888888888888888,0.5714285714285714,0.6956521739130435,6,1.0
20260428T070910Z,2026-04-28T07:13:34.201418+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,1163629188,11636291880411,12,14,50,25,1.0,0,0.05,success,,4.762667,5949,408,6357,0,0,14,12,2,2,2,1,3,0,1,1,1,0,0,0,0,9,1,0.9,0.6428571428571429,0.75,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.6666666666666666,0.42857142857142855,0.5217391304347826,9,1.0
20260428T070910Z,2026-04-28T07:13:38.972263+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,1332933138,13329331380411,12,14,50,25,1.0,0,0.05,success,,7.210323,5954,555,6509,0,0,14,8,6,2,2,1,3,0,1,1,1,0,0,0,0,10,0,1.0,0.7142857142857143,0.8333333333333333,1.0,0.625,0.7692307692307693,0.6,0.42857142857142855,0.5,8,1.0
20260428T070910Z,2026-04-28T07:13:46.191057+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,1231061499,12310614990411,12,14,50,25,1.0,0,0.05,success,,5.619893,5940,474,6414,0,0,14,4,10,3,3,1,3,0,1,1,1,0,0,0,0,9,0,1.0,0.6428571428571429,0.782608695652174,1.0,0.25,0.4,0.5555555555555556,0.35714285714285715,0.43478260869565216,9,1.0
20260428T070910Z,2026-04-28T07:13:51.818642+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,1526642568,15266425680512,14,16,50,25,1.0,0,0.05,success,,4.960613,6471,418,6889,0,0,16,10,6,3,3,1,3,0,1,1,1,0,0,0,0,9,2,0.9090909090909091,0.625,0.7407407407407406,1.0,0.6,0.7499999999999999,0.6666666666666666,0.375,0.4800000000000001,11,1.0
20260428T070910Z,2026-04-28T07:13:56.788317+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,1170708238,11707082380512,14,16,50,25,1.0,0,0.05,success,,8.281004,13819,544,14363,0,0,16,9,7,3,3,2,4,0,2,1,1,0,0,0,0,12,1,0.9230769230769231,0.75,0.8275862068965517,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.5833333333333334,0.4375,0.5,10,1.0
20260428T070910Z,2026-04-28T07:14:05.078260+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,385840006,3858400060512,14,16,50,25,1.0,0,0.05,success,,6.402937,6403,548,6951,0,0,16,14,2,2,2,1,3,0,1,1,1,0,0,0,0,9,0,0.8888888888888888,0.5,0.64,0.3333333333333333,0.14285714285714285,0.2,0.2222222222222222,0.125,0.16,15,1.0
20260428T070910Z,2026-04-28T07:14:11.489617+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,32447648,324476480512,14,16,50,25,1.0,0,0.05,success,,5.70955,6477,492,6969,0,0,16,14,2,2,2,1,3,0,1,1,1,0,0,0,0,12,0,0.8333333333333334,0.625,0.7142857142857143,0.75,0.42857142857142855,0.5454545454545454,0.6666666666666666,0.5,0.5714285714285715,10,1.0
20260428T070910Z,2026-04-28T07:14:17.206635+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,1017236502,10172365020512,14,16,50,25,1.0,0,0.05,success,,12.565579,18239,702,18941,0,0,16,13,3,3,3,2,5,0,2,1,1,1,0,0,0,10,0,0.9,0.5625,0.6923076923076923,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.5,0.3125,0.38461538461538464,12,1.0
20260428T070910Z,2026-04-28T07:14:29.780083+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,1717602974,17176029740512,14,16,50,25,1.0,0,0.05,success,,5.117123,6437,470,6907,0,0,16,10,6,2,2,1,3,0,1,1,1,0,0,0,0,13,0,0.8461538461538461,0.6875,0.7586206896551724,1.0,0.5,0.6666666666666666,0.6923076923076923,0.5625,0.6206896551724138,9,1.0
20260428T070910Z,2026-04-28T07:14:34.905516+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,480184089,4801840890512,14,16,50,25,1.0,0,0.05,success,,10.173796,6480,515,6995,0,0,16,14,2,2,2,1,3,0,1,1,1,0,1,0,0,10,2,0.9166666666666666,0.6875,0.7857142857142857,0.875,0.5,0.6363636363636364,0.8,0.5,0.6153846153846154,9,1.0
20260428T070910Z,2026-04-28T07:14:45.086565+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,5,2015902496,20159024960512,14,16,50,25,1.0,0,0.05,success,,6.604443,6453,657,7110,0,0,16,6,10,2,2,1,3,0,1,1,1,0,0,0,0,11,0,1.0,0.6875,0.8148148148148148,0.0,0.0,0.0,0.6363636363636364,0.4375,0.5185185185185185,9,1.0
