run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260422T105637Z,2026-04-22T11:01:19.887436+00:00,active,oracle,baseline,0,868078822,8680788220007,4,5,50,25,0.5,2,success,,0.000583,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T11:01:19.916932+00:00,observational,pc,baseline,0,452641024,4526410240007,4,5,50,25,0.5,2,success,,0.009536,0,0,0,5,0,5,1,3,0,0,0,0,0,0,0,3,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T11:01:19.957956+00:00,observational,llm_raw_obs,gpt-5.4,0,452641024,4526410240007,4,5,50,25,0.5,2,success,,3.886526,2352,202,2554,5,0,5,1,3,0,1,0,0,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,5,1.0
20260422T105637Z,2026-04-22T11:01:23.872891+00:00,observational,llm_stats_obs,gpt-5.4,0,452641024,4526410240007,4,5,50,25,0.5,2,success,,12.258825,10399,479,10878,5,0,5,1,3,0,4,3,0,1,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T11:01:36.169725+00:00,active,pc_greedy,baseline,0,452641024,4526410240007,4,5,50,25,0.5,2,success,,0.009022,0,0,0,5,0,5,1,3,2,0,0,0,0,0,3,0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,0.7499999999999999,2,0.5
20260422T105637Z,2026-04-22T11:01:36.208531+00:00,active,llm_raw,gpt-5.4,0,452641024,4526410240007,4,5,50,25,0.5,2,success,,10.986397,9459,582,10041,5,0,5,1,3,2,3,0,2,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,5,0.5
20260422T105637Z,2026-04-22T11:01:47.230322+00:00,active,llm_stats,gpt-5.4,0,452641024,4526410240007,4,5,50,25,0.5,2,success,,20.049915,20178,934,21112,5,0,5,1,3,1,7,5,1,1,0,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260422T105637Z,2026-04-22T11:02:07.314257+00:00,active,oracle,baseline,0,452641024,4526410240007,4,5,50,25,0.5,2,success,,0.000594,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T11:02:07.342377+00:00,observational,pc,baseline,0,963592850,9635928500007,4,5,50,25,0.5,2,success,,0.008275,0,0,0,5,0,5,1,3,0,0,0,0,0,0,0,2,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T11:02:07.383808+00:00,observational,llm_raw_obs,gpt-5.4,0,963592850,9635928500007,4,5,50,25,0.5,2,success,,3.361289,2305,194,2499,5,0,5,1,3,0,1,0,0,1,0,5,0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.6,0.6,0.6,3,1.0
20260422T105637Z,2026-04-22T11:02:10.779097+00:00,observational,llm_stats_obs,gpt-5.4,0,963592850,9635928500007,4,5,50,25,0.5,2,success,,12.365782,12853,642,13495,5,0,5,1,3,0,5,4,0,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260422T105637Z,2026-04-22T11:02:23.178292+00:00,active,pc_greedy,baseline,0,963592850,9635928500007,4,5,50,25,0.5,2,success,,0.008144,0,0,0,5,0,5,1,3,1,0,0,0,0,0,2,0,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,1.0,0.4,0.5714285714285715,3,1.0
20260422T105637Z,2026-04-22T11:02:23.212959+00:00,active,llm_raw,gpt-5.4,0,963592850,9635928500007,4,5,50,25,0.5,2,success,,7.707809,5344,377,5721,5,0,5,1,3,1,2,0,1,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260422T105637Z,2026-04-22T11:02:30.949344+00:00,active,llm_stats,gpt-5.4,0,963592850,9635928500007,4,5,50,25,0.5,2,success,,15.34483,15496,754,16250,5,0,5,1,3,0,6,5,0,1,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8000000000000002,1,1.0
20260422T105637Z,2026-04-22T11:02:46.326147+00:00,active,oracle,baseline,0,963592850,9635928500007,4,5,50,25,0.5,2,success,,0.000528,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T11:02:46.354921+00:00,observational,pc,baseline,1,1257633785,12576337850108,5,6,25,15,1.0,1,success,,0.010218,0,0,0,6,3,3,1,2,0,0,0,0,0,0,4,0,1.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.5,0.3333333333333333,0.4,4,1.0
20260422T105637Z,2026-04-22T11:02:46.394548+00:00,observational,llm_raw_obs,gpt-5.4,1,1257633785,12576337850108,5,6,25,15,1.0,1,success,,3.379686,1669,180,1849,6,3,3,1,2,0,1,0,0,1,0,3,0,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.5,0.6666666666666666,3,1.0
20260422T105637Z,2026-04-22T11:02:49.826893+00:00,observational,llm_stats_obs,gpt-5.4,1,1257633785,12576337850108,5,6,25,15,1.0,1,success,,14.890231,13850,746,14596,6,3,3,1,2,0,7,6,0,1,0,0,4,0.75,0.5,0.6,1.0,0.0,0.0,1.0,0.0,0.0,7,1.0
20260422T105637Z,2026-04-22T11:03:04.752950+00:00,active,pc_greedy,baseline,1,1257633785,12576337850108,5,6,25,15,1.0,1,success,,0.024253,0,0,0,6,3,3,1,2,0,0,0,0,0,0,4,0,1.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.5,0.3333333333333333,0.4,4,1.0
20260422T105637Z,2026-04-22T11:03:04.818685+00:00,active,llm_raw,gpt-5.4,1,1257633785,12576337850108,5,6,25,15,1.0,1,success,,7.279496,3951,349,4300,6,3,3,1,2,1,2,0,1,1,0,3,1,0.75,0.5,0.6,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,1.0
20260422T105637Z,2026-04-22T11:03:12.127814+00:00,active,llm_stats,gpt-5.4,1,1257633785,12576337850108,5,6,25,15,1.0,1,success,,23.728989,18754,1128,19882,6,3,3,1,2,1,9,7,1,1,0,2,2,0.75,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0
20260422T105637Z,2026-04-22T11:03:35.893202+00:00,active,oracle,baseline,1,1257633785,12576337850108,5,6,25,15,1.0,1,success,,0.000567,0,0,0,6,3,3,1,2,0,0,0,0,0,0,6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T11:03:35.914878+00:00,observational,pc,baseline,1,1100146725,11001467250108,5,6,25,15,1.0,1,success,,0.011038,0,0,0,6,2,4,2,3,0,0,0,0,0,0,2,2,0.75,0.5,0.6,1.0,0.0,0.0,0.5,0.16666666666666666,0.25,6,1.0
20260422T105637Z,2026-04-22T11:03:35.965049+00:00,observational,llm_raw_obs,gpt-5.4,1,1100146725,11001467250108,5,6,25,15,1.0,1,success,,4.17168,1668,169,1837,6,2,4,2,3,0,1,0,0,1,0,4,3,0.42857142857142855,0.5,0.4615384615384615,1.0,0.5,0.6666666666666666,0.25,0.16666666666666666,0.2,9,1.0
20260422T105637Z,2026-04-22T11:03:40.171972+00:00,observational,llm_stats_obs,gpt-5.4,1,1100146725,11001467250108,5,6,25,15,1.0,1,success,,13.508776,9658,709,10367,6,2,4,2,3,0,5,4,0,1,0,1,1,0.5,0.16666666666666666,0.25,1.0,0.5,0.6666666666666666,1.0,0.16666666666666666,0.2857142857142857,6,1.0
20260422T105637Z,2026-04-22T11:03:53.714494+00:00,active,pc_greedy,baseline,1,1100146725,11001467250108,5,6,25,15,1.0,1,success,,0.009033,0,0,0,6,2,4,2,3,1,0,0,0,0,0,4,0,0.75,0.5,0.6,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4,5,1.0
20260422T105637Z,2026-04-22T11:03:53.756110+00:00,active,llm_raw,gpt-5.4,1,1100146725,11001467250108,5,6,25,15,1.0,1,failed,"ValueError: Action 'correlation' is not allowed for this agent: ['intervene', 'submit_graph']",1.967476,,,,6,2,4,2,3,,,,,,,,,,,,,,,,,,,
20260422T105637Z,2026-04-22T11:03:55.760003+00:00,active,llm_stats,gpt-5.4,1,1100146725,11001467250108,5,6,25,15,1.0,1,success,,23.257543,17686,1022,18708,6,2,4,2,3,1,8,6,1,1,0,1,2,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,0.5,0.6666666666666666,1.0,0.16666666666666666,0.2857142857142857,6,1.0
20260422T105637Z,2026-04-22T11:04:19.048576+00:00,active,oracle,baseline,1,1100146725,11001467250108,5,6,25,15,1.0,1,success,,0.000677,0,0,0,6,2,4,2,3,0,0,0,0,0,0,6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
