level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
v0_like_density_probe,0,1,20260428,85,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,2.0
v0_like_density_probe,0,1,20260428,86,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,87,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,5.0
v0_like_density_probe,0,1,20260428,88,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,1,20260428,89,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,90,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,91,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,92,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,1,20260428,93,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,94,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,95,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,96,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.5714285714285715,2.0
v0_like_density_probe,0,1,20260428,97,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,1,20260428,98,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,1,20260428,99,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,4.0
v0_like_density_probe,0,2,20260429,0,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.5714285714285715,2.0
v0_like_density_probe,0,2,20260429,1,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.5714285714285715,2.0
v0_like_density_probe,0,2,20260429,2,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.5,2.0
v0_like_density_probe,0,2,20260429,3,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,2,20260429,4,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,5.0
